City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
471,Crixas,BR,-14.5489,-49.9692,72.91,93,100,1.3,overcast clouds
472,Linguere,SN,15.3953,-15.1193,71.82,35,0,4.61,clear sky
473,Roald,NO,62.5833,6.1333,40.12,70,75,18.41,broken clouds
474,Tammisaari,FI,59.9736,23.4339,16.11,92,52,9.57,broken clouds
475,Rio Grande,BR,-32.035,-52.0986,87.91,78,1,16.33,clear sky
476,Makurdi,NG,7.7411,8.5121,80.67,26,75,5.53,broken clouds
477,Nemuro,JP,43.3236,145.575,27.72,67,47,21.34,scattered clouds
478,La Seyne-Sur-Mer,FR,43.0982,5.8847,53.89,81,0,1.01,clear sky
479,Hervey Bay,AU,-25.2986,152.8535,77.54,75,100,13.65,overcast clouds
480,Mangrol,IN,21.1167,70.1167,64.17,50,2,11.77,clear sky
481,Malakal,SS,9.5334,31.6605,76.32,23,5,8.72,clear sky
482,Totskoye,RU,52.5248,52.7623,21.34,94,100,11.03,light snow
483,Rincon,US,32.296,-81.2354,71.56,59,40,9.22,scattered clouds
484,Flinders,AU,-34.5833,150.8552,62.38,91,96,8.99,light rain
485,Nelson Bay,AU,-32.7167,152.15,69.01,83,98,8.99,overcast clouds
486,Debre Tabor,ET,11.85,38.0167,51.42,68,6,2.06,clear sky
487,Taywarah,AF,33.35,64.4167,27.36,61,100,4.59,overcast clouds
488,Mitu,CO,1.1983,-70.1733,73.42,93,97,0.63,light rain
489,Naze,JP,28.3667,129.4833,52.72,62,65,5.14,broken clouds
490,Kochki,RU,54.3358,80.4806,5.23,99,100,2.21,overcast clouds
491,Mayo,US,38.8876,-76.5119,59.25,69,40,4.61,scattered clouds
492,Port-Cartier,CA,50.0334,-66.8654,10.08,83,100,2.82,overcast clouds
493,Mae Sai,TH,20.4335,99.8762,58.55,87,28,2.59,scattered clouds
494,Gigmoto,PH,13.7796,124.39,78.12,88,89,16.71,light rain
495,Myanaung,MM,18.2833,95.3167,64.13,61,13,8.7,few clouds
496,Floro,NO,61.5996,5.0328,38.97,81,100,20.71,overcast clouds
497,Asamankese,GH,5.8601,-0.6635,73.53,88,83,2.75,broken clouds
498,Natal,BR,-5.795,-35.2094,81.25,78,20,11.5,few clouds
499,Curuca,BR,-0.7289,-47.8481,75.33,90,17,4.47,few clouds
500,Kochubey,RU,44.3861,46.5825,36.66,92,92,9.26,overcast clouds
501,Cairns,AU,-16.9167,145.7667,80.11,91,100,8.05,light rain
502,Emet,TR,39.343,29.2585,37.54,86,3,3.24,clear sky
503,Bubaque,GW,11.2833,-15.8333,78.48,68,100,9.28,overcast clouds
504,Kurilsk,RU,45.2333,147.8833,27.93,69,97,23.29,overcast clouds
505,Bocaiuva,BR,-17.1078,-43.815,73.11,93,99,2.21,overcast clouds
506,Tefe,BR,-3.3542,-64.7114,77.11,94,75,3.44,broken clouds
507,Kismayo,SO,-0.3582,42.5454,78.21,79,7,16.93,clear sky
508,Keti Bandar,PK,24.1447,67.4497,58.59,22,0,14.72,clear sky
509,Aswan,EG,24.0934,32.907,57.36,52,0,8.61,clear sky
510,Altamira,BR,-3.2033,-52.2064,75.6,89,99,1.34,overcast clouds
511,Marrakesh,MA,31.6315,-8.0083,51.87,58,0,2.3,clear sky
512,Mandera,KE,3.9366,41.867,80.51,26,86,8.46,overcast clouds
513,Marsaxlokk,MT,35.8419,14.5431,56.08,87,0,5.75,clear sky
514,Vryburg,ZA,-26.9566,24.7284,69.3,59,25,7.23,scattered clouds
515,Nador,MA,35.174,-2.9287,53.85,82,20,2.3,few clouds
516,Santa Lucia,ES,27.9117,-15.5407,60.76,48,20,12.66,few clouds
517,Bandarbeyla,SO,9.4942,50.8122,75.33,76,29,14.76,scattered clouds
