City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Mushie,CD,70.54,overcast clouds,-3.0167,16.9,hôtel Mushi
487,Oussouye,SN,69.98,few clouds,12.485,-16.5469,Campement Alulum
488,Nara,JP,44.96,overcast clouds,34.6851,135.8049,JWマリオットホテル奈良
489,Save,BJ,79.57,clear sky,8.0425,2.486,Idadu Hôtel
491,Teguldet,RU,-8.09,overcast clouds,57.3064,88.1667,Кедр
494,Bemidji,US,8.37,clear sky,47.4736,-94.8803,Hampton Inn and Suites
497,Gorontalo,ID,82.33,overcast clouds,0.5412,123.0595,Grand City Hotel
499,Fare,PF,81.0,overcast clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
502,Talcahuano,CL,62.28,broken clouds,-36.7167,-73.1167,Club Recreativo Armada de Chile
503,Darab,IR,49.89,light rain,28.7519,54.5444,محدوده هتل جهانگردی
504,Dubbo,AU,78.93,clear sky,-32.25,148.6167,Blue Gum Motel
505,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
506,Nagato,JP,47.05,broken clouds,34.3833,131.2,きらく
507,Amberieu-En-Bugey,FR,49.98,overcast clouds,45.9589,5.3432,Ambotel
508,Sao Filipe,CV,72.95,overcast clouds,14.8961,-24.4956,Bela Vista
509,Mareeba,AU,81.48,overcast clouds,-17.0,145.4333,The Gateway Hotel
510,Arvika,SE,29.01,light snow,59.6553,12.5852,Jennys Hotell och restaurang
511,Ketchikan,US,46.38,moderate rain,55.3422,-131.6461,Cape Fox Lodge
512,San Juan,AR,91.63,light rain,-31.5375,-68.5364,Hotel San Francisco
513,Huarmey,PE,69.12,scattered clouds,-10.0681,-78.1522,Hostal Santa Rosa
514,Cortes,ES,36.68,scattered clouds,41.9395,-1.4396,Casa rural El Talon del Rey
516,Tezpur,IN,52.34,clear sky,26.6333,92.8,Hotel Basant
517,Green Valley,US,57.43,overcast clouds,31.8543,-110.9937,Comfort Inn
518,Davila,PH,82.38,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
520,Freeport,US,45.01,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
521,Namatanai,PG,84.33,light rain,-3.6667,152.4333,Namatanai Hotel
522,Tual,ID,83.21,overcast clouds,-5.6667,132.75,Suita
